學年度,學制,學制/系科
110,日五專,五專國貿
110,日五專,五專國貿
110,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
110,日五專,五專國貿
107,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
109,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
108,日五專,五專國貿
106,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
109,日五專,五專國貿
111,日五專,五專國貿
110,日五專,五專國貿
111,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
110,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
111,日五專,五專國貿
107,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
111,日五專,五專國貿
108,日五專,五專國貿
110,日五專,五專國貿
107,日五專,五專國貿
109,日五專,五專國貿
110,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
110,日五專,五專國貿
110,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
109,日五專,五專國貿
106,日五專,五專國貿
110,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
109,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
110,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
106,日五專,五專國貿
109,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
110,日五專,五專國貿
108,日五專,五專國貿
108,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
108,日五專,五專國貿
109,日五專,五專國貿
110,日五專,五專國貿
107,日五專,五專國貿
110,日五專,五專國貿
106,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
111,日五專,五專國貿
110,日五專,五專國貿
108,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
108,日五專,五專國貿
107,日五專,五專國貿
110,日五專,五專國貿
106,日五專,五專國貿
108,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
108,日五專,五專國貿
108,日五專,五專國貿
110,日五專,五專國貿
110,日五專,五專國貿
109,日五專,五專國貿
109,日五專,五專國貿
107,日五專,五專國貿
110,日五專,五專國貿
110,日五專,五專國貿
111,日五專,五專國貿
111,日五專,五專國貿
109,日五專,五專國貿
109,日五專,五專國貿
109,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
96,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
96,日五專,五專國貿
101,日五專,五專國貿
104,日五專,五專國貿
98,日五專,五專國貿
104,日五專,五專國貿
97,日五專,五專國貿
97,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
97,日五專,五專國貿
99,日五專,五專國貿
97,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
97,日五專,五專國貿
101,日五專,五專國貿
97,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
98,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
98,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
99,日五專,五專國貿
98,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
104,日五專,五專國貿
104,日五專,五專國貿
104,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
103,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
99,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
101,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
102,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
101,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
102,日五專,五專國貿
104,日五專,五專國貿
103,日五專,五專國貿
103,日五專,五專國貿
99,日五專,五專國貿
101,日五專,五專國貿
99,日五專,五專國貿
102,日五專,五專國貿
101,日五專,五專國貿
102,日五專,五專國貿
100,日五專,五專國貿
100,日五專,五專國貿
104,日五專,五專國貿
101,日五專,五專企管
102,日五專,五專企管
101,日五專,五專企管
100,日五專,五專企管
100,日五專,五專企管
102,日五專,五專企管
98,日五專,五專企管
98,日五專,五專企管
99,日五專,五專企管
99,日五專,五專企管
104,日五專,五專企管
100,日五專,五專企管
104,日五專,五專企管
102,日五專,五專企管
102,日五專,五專企管
103,日五專,五專企管
101,日五專,五專企管
100,日五專,五專企管
103,日五專,五專企管
101,日五專,五專企管
102,日五專,五專企管
104,日五專,五專企管
103,日五專,五專企管
101,日五專,五專企管
102,日五專,五專企管
102,日五專,五專企管
104,日五專,五專企管
100,日五專,五專企管
101,日五專,五專企管
100,日五專,五專企管
103,日五專,五專企管
105,日五專,五專企管
102,日五專,五專企管
108,日五專,五專企管
104,日五專,五專企管
104,日五專,五專企管
106,日五專,五專企管
107,日五專,五專企管
106,日五專,五專企管
105,日五專,五專企管
107,日五專,五專企管
105,日五專,五專企管
108,日五專,五專企管
110,日五專,五專企管
107,日五專,五專企管
109,日五專,五專企管
107,日五專,五專企管
108,日五專,五專企管
108,日五專,五專企管
109,日五專,五專企管
110,日五專,五專企管
106,日五專,五專企管
106,日五專,五專企管
107,日五專,五專企管
108,日五專,五專企管
110,日五專,五專企管
111,日五專,五專企管
107,日五專,五專企管
109,日五專,五專企管
109,日五專,五專企管
110,日五專,五專企管
107,日五專,五專企管
111,日五專,五專企管
108,日五專,五專企管
108,日五專,五專企管
106,日五專,五專企管
110,日五專,五專企管
109,日五專,五專企管
110,日五專,五專企管
107,日五專,五專企管
107,日五專,五專企管
108,日五專,五專企管
111,日五專,五專企管
108,日五專,五專企管
109,日五專,五專企管
110,日五專,五專企管
111,日五專,五專企管
109,日五專,五專企管
106,日五專,五專企管
108,日五專,五專企管
110,日五專,五專企管
109,日五專,五專企管
109,日五專,五專企管
107,日五專,五專企管
110,日五專,五專企管
110,日五專,五專企管
111,日五專,五專企管
108,日五專,五專企管
111,日五專,五專企管
108,日五專,五專企管
108,日五專,五專企管
107,日五專,五專企管
107,日五專,五專企管
100,日五專,五專企管
99,日五專,五專企管
98,日五專,五專企管
97,日五專,五專企管
99,日五專,五專企管
97,日五專,五專企管
100,日五專,五專企管
101,日五專,五專企管
98,日五專,五專企管
101,日五專,五專企管
104,日五專,五專企管
104,日五專,五專企管
102,日五專,五專企管
99,日五專,五專企管
101,日五專,五專企管
102,日五專,五專企管
101,日五專,五專企管
99,日五專,五專企管
100,日五專,五專企管
100,日五專,五專企管
103,日五專,五專企管
103,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
103,日五專,五專企管
103,日五專,五專企管
102,日五專,五專企管
102,日五專,五專企管
99,日五專,五專企管
99,日五專,五專企管
103,日五專,五專企管
101,日五專,五專企管
102,日五專,五專企管
100,日五專,五專企管
102,日五專,五專企管
101,日五專,五專企管
100,日五專,五專企管
103,日五專,五專企管
104,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
105,日五專,五專企管
101,日五專,五專企管
99,日五專,五專企管
101,日五專,五專企管
99,日五專,五專企管
102,日五專,五專企管
102,日五專,五專企管
100,日五專,五專企管
103,日五專,五專企管
103,日五專,五專企管
100,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
106,日五專,五專企管
101,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
101,日五專,五專企管
105,日五專,五專企管
102,日五專,五專企管
104,日五專,五專企管
103,日五專,五專企管
102,日五專,五專企管
103,日五專,五專企管
106,日五專,五專企管
104,日五專,五專企管
104,日五專,五專企管
104,日五專,五專企管
105,日五專,五專企管
